Čas,Minuta,Liga,Domácí,Hosté,Skóre,xG Dom,xG Hos
21:37,2nd half,Serie A,Parma,Juventus,1-4,0.46,4.03
21:37,2nd half,LaLiga,Athletic Club,Real Sociedad,0-1,0.58,1.83
21:37,2nd half,Ligue 1,RC Strasbourg,Paris Saint-Germain,1-2,1.65,1.13
21:37,Halftime,Liga Portugal Betclic,Tondela,Benfica,0-0,0.24,0.42
21:37,2nd half,LaLiga 2,Granada,Real Racing Club,1-0,0,0
21:37,1st half,Paulista Série A1,Red Bull Bragantino,São Bernardo,0-1,0,0
21:37,1st half,Paulista Série A1,Mirassol,Grêmio Novorizontino,0-0,0,0
21:37,1st half,Liga de Primera,Deportes La Serena,Universidad Católica,2-0,0,0
21:37,1st half,"Liga DIMAYOR, Apertura",Deportivo Cali,Deportivo Pasto,2-0,0,0
21:37,2nd half,"Liga 1, Apertura",Alianza Atlético de Sullana,Cusco FC,0-0,0,0
21:37,2nd half,"U17 CONCACAF Women's Championship Qualification, Group F",El Salvador U17,Trinidad and Tobago U17,7-0,0,0
21:37,Started,ABFA Premier League,Potters Tigers FC,Flow Old Road FC,0-0,0,0
21:37,2nd half,"Liga Profesional de Fútbol, Apertura",Barracas Central,Deportivo Riestra,0-1,0,0
21:37,Halftime,"Torneo Regional Amateur, Región Litoral Norte - Playoffs",Guaraní Antonio Franco,Defensores Puerto Vilelas,0-0,0,0
21:37,1st half,"Torneo Regional Amateur, Región Centro - Playoffs",General Paz Juniors,Central Argentino de La Banda,0-0,0,0
21:38,1st half,"Torneo Regional Amateur, Región Cuyo - Playoffs",Sportivo Estudiantes,Fundación Amigos Por El Deporte,0-0,0,0
21:38,2nd half,"Torneo Regional Federal Amateur, Región Patagónica - Playoffs",Atlético Boxing Club,AD La Amistad,1-1,0,0
21:38,1st half,"Torneo Amistoso De Verano, Playoff",Real Potosí,Nacional Potosí,0-0,0,0
21:38,1st half,Baianão Mansão Green 2026,Bahia,Porto Sport Club,1-0,0,0
21:38,1st half,"Capixaba, Série A",Rio Branco-ES,Real Noroeste,0-0,0,0
21:38,2nd half,"Catarinense, Serie A, Knockout Stage",Concórdia AC,Brusque,0-0,0,0
21:38,1st half,"Catarinense, Serie A, Knockout Stage",Criciúma,Chapecoense,0-2,0,0
21:38,1st half,"Cearense, Serie A, Championship Round",Ceará,Horizonte FC,1-0,0,0
21:38,2nd half,"Mato-Grossense, 1. Divisao",Várzea Grande EC,Sport Sinop,1-2,0,0
21:38,2nd half,"Paraense, Serie A",Paysandu SC,Capitão Poço EC,1-0,0,0
21:38,2nd half,Paraibano,Pombal EC,Serra Branca EC,3-1,0,0
21:38,2nd half,Paraibano,Treze,Confiança EC,0-0,0,0
21:38,1st half,Paraibano,Atlético Cajazeirense,Nacional de Patos,0-0,0,0
21:38,1st half,"Paranaense, 1ª Divisão – Mata-mata",Operário-PR,Azuriz,0-0,0,0
21:38,1st half,"Paranaense, 1ª Divisão – Mata-mata",Azuriz,Operário-PR,0-0,0,0
21:38,1st half,"Paranaense, 1. Divisao, Relegation Playoffs",Galo Maringá,Maringá FC,0-1,0,0
21:38,1st half,"Paulista, Série A2",Ferroviária,EC São Bento,1-0,0,0
21:38,2nd half,"Campeonato Rondoniense, Group A",Ji-Paraná,Rondoniense,0-0,0,0
21:38,2nd half,Sul-Mato-Grossense,FC Pantanal,Costa Rica-MS,2-1,0,0
21:38,1st half,Sul-Mato-Grossense,Ivinhema,Operário-MS,1-2,0,0
21:38,1st half,"Copa Chile, Group D",Unión San Felipe,Santiago Wanderers,1-0,0,0
21:38,1st half,"Copa Chile, Group E",Deportes Recoleta,Unión Española,0-1,0,0
21:38,2nd half,"Primera B, Apertura",Deportes Quindío,Leones FC,2-0,0,0
21:39,2nd half,"Primera B, Apertura",Tigres FC,Boca Juniors de Cali,2-0,0,0
21:39,2nd half,"Copa Trinche Final Nacional, Final",Soydechinchi,El Morro FC,0-3,0,0
21:39,1st half,"Primera División de Santa Clara, Playoffs",Rayo S.C.,Élite F.C.,0-0,0,0
21:39,1st half,"Primera División, Clausura",CD Cacahuatique,Fuerte San Francisco,0-0,0,0
21:39,1st half,"Primera División, Clausura",CD Hercules,CD Municipal Limeño,0-1,0,0
21:39,1st half,"Primera División, Clausura",C.D. Platense Zacatecoluca,Alianza FC,0-0,0,0
21:39,1st half,"Segunda Division, Clausura",AD Espartano,CD Fuerte Aguilares,0-0,0,0
21:39,1st half,"Segunda Division, Clausura",CD Dragon,Atletico Balboa,0-0,0,0
21:39,1st half,"Segunda Division, Clausura",CD Olimpico Litoral,AD Batanecos,1-0,0,0
21:39,Halftime,A2 EPS Irakleiou Group 1,AO Damastas,AE Faistos,1-1,0,0
21:39,Halftime,A2 EPS Irakleiou Group 1,ASNA Neos Irodotos,AS Paliani,0-0,0,0
21:39,Halftime,A2 EPS Irakleiou Group 1,FS Korakas Pompias,AO Zarou,0-1,0,0
21:39,1st half,"Primera Division, Clausura, Group A",Deportivo San Pedro,Huehuetecos FC,0-1,0,0
21:39,1st half,"Primera Division, Clausura, Group B",CSD Ipala,San Benito FC,0-0,0,0
21:39,1st half,"Primera Division, Clausura, Group B",Deportivo Carchá,CS Deportivo Sacachispas,0-0,0,0
21:39,2nd half,"LHF, North Group",Baltimore SC,Racing FC des Gonaïves,2-0,0,0
21:39,2nd half,"LHF, North Group",Ouanaminthe FC,AS Capoise,0-0,0,0
21:39,2nd half,"LHF, South Group",Racing Club Haïtien,Violette AC,0-3,0,0
21:39,2nd half,"LHF, South Group",Cavaly AS,Juventus des Cayes,1-0,0,0
21:39,1st half,"Liga Nacional, Clausura",Génesis PN,CD Choloma,0-0,0,0
21:39,2nd half,Liga Bet South A,Maccabi Bnei Jaljulia,Maccabi Ironi Kfar Yona,0-3,0,0
21:39,2nd half,Premier League,Chapelton Maroons FC,Mount Pleasant FA,0-1,0,0
21:39,2nd half,Premier League,Harbour View FC,Tivoli Gardens,1-2,0,0
21:39,2nd half,Premier League,Montego Bay United FC,Molynes United FC,3-0,0,0
21:40,2nd half,Premier League,Portmore United FC,Cavalier FC,1-0,0,0
21:40,2nd half,Premier League,Spanish Town Police FC,Racing United FC,1-3,0,0
21:40,1st half,Liga TDP,Tlapa Mazatecochco,Liga de Futbol de Tehuacan,1-0,0,0
21:40,1st half,Liga TDP,CEFOR Chiapas,Lechuzas UPGCH,0-0,0,0
21:40,1st half,"Primera Division, Clausura",Rancho Santana FC,Managua FC,0-0,0,0
21:40,1st half,"Liga Panamena de Futbol, Clausura",Herrera Fútbol Club,CD Universitario,0-1,0,0
21:40,1st half,"Liga Prom, Clausura",Udelas FC,CA Independiente B,0-1,0,0
21:40,1st half,"Liga Prom, Clausura",Academia Mario Mendez,La Familia FC,0-0,0,0
21:40,1st half,"División de Honor, Apertura",Olimpia,Sportivo Trinidense,1-0,0,0
21:40,2nd half,SKNFA Premier League - Regular Phase,Dieppe Bay Eagles FC,Bath United FC,1-0,0,0
21:40,Started,SKNFA Division 1,Molineaux F.C.,KFC Trinity/Challengers United FC,0-0,0,0
21:40,Started,Suriname Major League,SV Transvaal,SV Flora,0-0,0,0
21:40,2nd half,Pro League,AC Port Of Spain,Club Sando Moruga,1-3,0,0
21:40,2nd half,MLS Pre Season,Austin FC,New York City FC,0-2,0,0
21:40,Started,Greater Seattle Soccer League,Paradise SC Seattle,University of Washington,0-0,0,0
21:40,1st half,"Primera Division, Apertura",Estudiantes de Mérida,Caracas F.C.,1-0,0,0
