Čas,Liga,Stav,Domácí,Hosté,Skóre,xG Dom,xG Hos,Střely D,Střely H,Sance D,Sance H
15:00,Premier League,Ended,Brighton & Hove Albion,Everton,1-1,1.44,1.20,11,7,2,2
15:00,Premier League,Ended,Leeds United,Arsenal,0-4,0.15,2.19,3,14,0,6
15:00,Premier League,Ended,Wolverhampton,Bournemouth,0-2,1.38,1.36,17,9,4,2
17:30,Premier League,Ended,Chelsea,West Ham United,3-2,2.70,1.12,14,11,4,2
20:00,Premier League,Ended,Liverpool,Newcastle United,4-1,2.28,0.36,17,8,7,0
14:00,Premier League,Not started,Aston Villa,Brentford,0-0,0,0,0,0,0,0
14:00,Premier League,Not started,Manchester United,Fulham,0-0,0,0,0,0,0,0
14:00,Premier League,Not started,Nottingham Forest,Crystal Palace,0-0,0,0,0,0,0,0
16:30,Premier League,Not started,Tottenham Hotspur,Manchester City,0-0,0,0,0,0,0,0
14:00,Serie A,Ended,Pisa,Sassuolo,1-3,1.06,2.26,15,21,3,3
17:00,Serie A,Ended,Napoli,Fiorentina,2-1,1.73,1.23,19,15,2,4
19:45,Serie A,Ended,Cagliari,Hellas Verona,4-0,1.74,0.46,13,9,4,0
11:30,Serie A,Not started,Torino,Lecce,0-0,0,0,0,0,0,0
14:00,Serie A,Postponed,Bologna,Milan,0-0,0,0,0,0,0,0
14:00,Serie A,Not started,Como,Atalanta,0-0,0,0,0,0,0,0
17:00,Serie A,Not started,Cremonese,Inter,0-0,0,0,0,0,0,0
19:45,Serie A,Not started,Parma,Juventus,0-0,0,0,0,0,0,0
13:00,LaLiga,Ended,Real Oviedo,Girona FC,1-0,1.40,0.65,8,9,1,2
15:15,LaLiga,Ended,Osasuna,Villarreal,2-2,1.37,0.92,15,5,4,1
17:30,LaLiga,Ended,Levante UD,Atlético Madrid,0-0,0.37,0.86,10,10,0,0
20:00,LaLiga,Ended,Elche,Barcelona,1-3,1.00,6.44,9,30,1,13
13:00,LaLiga,Not started,Real Madrid,Rayo Vallecano,0-0,0,0,0,0,0,0
15:15,LaLiga,Not started,Real Betis,Valencia,0-0,0,0,0,0,0,0
17:30,LaLiga,Not started,Getafe,Celta Vigo,0-0,0,0,0,0,0,0
20:00,LaLiga,Not started,Athletic Club,Real Sociedad,0-0,0,0,0,0,0,0
14:30,Bundesliga,Ended,Eintracht Frankfurt,Bayer 04 Leverkusen,1-3,1.10,1.15,11,11,3,3
14:30,Bundesliga,Ended,FC Augsburg,FC St. Pauli,2-1,1.13,2.46,12,17,5,5
14:30,Bundesliga,Ended,RB Leipzig,1. FSV Mainz 05,1-2,1.74,2.33,15,11,3,4
14:30,Bundesliga,Ended,SV Werder Bremen,Borussia M'gladbach,1-1,1.24,0.89,18,7,0,2
14:30,Bundesliga,Ended,TSG Hoffenheim,1. FC Union Berlin,3-1,1.37,1.84,9,16,2,2
17:30,Bundesliga,Ended,Hamburger SV,FC Bayern München,2-2,2.25,2.41,14,13,5,5
14:30,Bundesliga,Not started,VfB Stuttgart,SC Freiburg,0-0,0,0,0,0,0,0
16:30,Bundesliga,Not started,Borussia Dortmund,1. FC Heidenheim,0-0,0,0,0,0,0,0
16:00,Ligue 1,Ended,Paris FC,Olympique de Marseille,2-2,1.53,2.63,9,18,3,3
18:00,Ligue 1,Ended,Lorient,Nantes,2-1,0.52,1.42,5,10,1,2
20:05,Ligue 1,Ended,AS Monaco,Stade Rennais,4-0,2.21,0.38,14,8,4,1
14:00,Ligue 1,Not started,Olympique Lyonnais,Lille,0-0,0,0,0,0,0,0
16:15,Ligue 1,Not started,Angers,Metz,0-0,0,0,0,0,0,0
16:15,Ligue 1,Not started,Nice,Stade Brestois,0-0,0,0,0,0,0,0
16:15,Ligue 1,Not started,Toulouse,Auxerre,0-0,0,0,0,0,0,0
19:45,Ligue 1,Not started,RC Strasbourg,Paris Saint-Germain,0-0,0,0,0,0,0,0
15:30,Liga Portugal Betclic,Ended,Santa Clara,Estoril Praia,2-4,2.20,2.32,14,11,4,3
18:00,Liga Portugal Betclic,Ended,Rio Ave,FC Arouca,0-3,0.69,1.47,8,18,0,3
20:30,Liga Portugal Betclic,Ended,FC Alverca,CF Estrela Amadora,1-1,0.89,0.88,8,5,2,1
15:30,Liga Portugal Betclic,Not started,Gil Vicente,Famalicão,0-0,0,0,0,0,0,0
18:00,Liga Portugal Betclic,Not started,Sporting CP,CD Nacional,0-0,0,0,0,0,0,0
20:30,Liga Portugal Betclic,Not started,Tondela,Benfica,0-0,0,0,0,0,0,0
15:30,VriendenLoterij Eredivisie,Ended,AZ Alkmaar,NEC Nijmegen,1-3,1.39,1.36,11,19,3,2
17:45,VriendenLoterij Eredivisie,Ended,PEC Zwolle,SC Telstar,4-1,2.85,1.75,16,14,6,4
20:00,VriendenLoterij Eredivisie,Ended,Sparta Rotterdam,FC Groningen,2-0,1.19,0.28,8,8,3,0
11:15,VriendenLoterij Eredivisie,Not started,Excelsior,AFC Ajax,0-0,0,0,0,0,0,0
13:30,VriendenLoterij Eredivisie,Not started,Heracles Almelo,Fortuna Sittard,0-0,0,0,0,0,0,0
